accounting,standard,statement
us-gaap:EarningsPerShareDiluted,Diluted EPS,IS
us-gaap:WeightedAverageNumberOfDilutedSharesOutstanding,Weighted Avg. Diluted Shares Out.,IS
us-gaap:CommonStockDividendsPerShareDeclared,Dividends per Share,IS
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,As Reported Total Revenue*,IS
,,
us-gaap:CurrentFederalTaxExpenseBenefit,Current Federal Taxes,IS
us-gaap:CurrentStateAndLocalTaxExpenseBenefit,Current State & Local Taxes,IS
us-gaap:CurrentForeignTaxExpenseBenefit,Current Foreign Taxes,IS
us-gaap:DeferredStateAndLocalIncomeTaxExpenseBenefit,Deferred State & Local Taxes,IS
us-gaap:DeferredFederalIncomeTaxExpenseBenefit,Deferred Federal Taxes,IS
,,
us-gaap:DeferredForeignIncomeTaxExpenseBenefit,Deferred Foreign Taxes,IS
us-gaap:InterestCostsIncurred,Interest on Long Term Debt,IS
us-gaap:SellingGeneralAndAdministrativeExpense,Selling and Marketing Exp.,IS
us-gaap:ResearchAndDevelopmentExpense,R&D Exp.,IS
us-gaap:OperatingLeasesRentExpenseNet,Net Rental Exp.,IS
us-gaap:ShareBasedCompensation,"Stock-Based Comp., Unallocated",IS
us-gaap:ShareBasedCompensation,"Stock-Based Comp., Total",IS
,,
us-gaap:ProfitLoss,Net Income,CS
us-gaap:ProfitLoss,Net Income,CS
us-gaap:ProfitLoss,Net Income,CS
us-gaap:DepreciationDepletionAndAmortization,Depreciation & Amort.,CS
us-gaap:AmortizationOfIntangibleAssets,Amort. of Goodwill and Intangibles,CS
us-gaap:OtherOperatingActivitiesCashFlowStatement,Other Operating Activities,CS
us-gaap:IncreaseDecreaseInAccountsReceivable,Change in Acc. Receivable,CS
us-gaap:IncreaseDecreaseInInventories,Change In Inventories,CS
us-gaap:IncreaseDecreaseInAccountsPayable,Change in Acc. Payable,CS
us-gaap:IncreaseDecreaseInAccruedIncomeTaxesPayable,Change in Inc. Taxes,CS
us-gaap:IncreaseDecreaseInOtherOperatingCapitalNet,Change in Other Net Operating Assets,CS
us-gaap:NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,Cash from Ops.,CS
us-gaap:PaymentsToAcquireBusinessesNetOfCashAcquired,Cash Acquisitions,CS
us-gaap:PaymentsToAcquireBusinessesNetOfCashAcquired,Cash Acquisitions,CS
us-gaap:NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,Cash from Investing,CS
us-gaap:ProceedsFromRepaymentsOfShortTermDebtMaturingInThreeMonthsOrLess,Short Term Debt Issued,CS
us-gaap:ProceedsFromDebtMaturingInMoreThanThreeMonths,Long-Term Debt Issued,CS
,,
us-gaap:ProceedsFromRepaymentsOfShortTermDebtMaturingInThreeMonthsOrLess,Short Term Debt Repaid,CS
us-gaap:RepaymentsOfDebtMaturingInMoreThanThreeMonths,Long-Term Debt Repaid,CS
us-gaap:PaymentsForRepurchaseOfCommonStock,Repurchase of Common Stock,CS
us-gaap:DividendsCommonStockCash,Common Dividends Paid,CS
us-gaap:NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,Cash from Financing,CS
us-gaap:EffectOfExchangeRateOnCashAndCashEquivalents,Foreign Exchange Rate Adj.,CS
us-gaap:InterestPaidNet,Cash Interest Paid,CS
us-gaap:IncomeTaxesPaidNet,Cash Taxes Paid,CS
us-gaap:CashAndCashEquivalentsAtCarryingValue,Cash And Equivalents,BS
us-gaap:MarketableSecuritiesCurrent,Short Term Investments,BS
us-gaap:TradingSecurities,Trading Asset Securities,BS
us-gaap:AccountsNotesAndLoansReceivableNetCurrent,Accounts Receivable,BS
us-gaap:AllowanceForDoubtfulAccountsReceivableCurrent,Accounts Receivable,BS
us-gaap:InventoryNet,Inventory,BS
us-gaap:DeferredTaxAssetsLiabilitiesNetCurrent,"Deferred Tax Assets, Curr.",BS
us-gaap:RestrictedCashAndInvestmentsCurrent,Restricted Cash,BS
us-gaap:OtherAssetsCurrent,Other Current Assets,BS
us-gaap:AssetsCurrent,Total Current Assets,BS
us-gaap:AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,Accumulated Depreciation,BS
us-gaap:EquityMethodInvestments,Long-term Investments,BS
us-gaap:DeferredIncomeTaxAssetsNet,"Deferred Tax Assets, LT",BS
us-gaap:OtherAssetsNoncurrent,Other Long-Term Assets,BS
us-gaap:Assets,Total Assets,BS
us-gaap:AccountsPayableCurrent,Accounts Payable,BS
us-gaap:DeferredRevenueCurrent,"Unearned Revenue, Current",BS
us-gaap:LiabilitiesCurrent,Total Current Liabilities,BS
us-gaap:LongTermDebtAndCapitalLeaseObligations,Long-Term Debt,BS
us-gaap:DeferredRevenueNoncurrent,"Unearned Revenue, Non-Current",BS
us-gaap:OtherLiabilitiesNoncurrent,Other Non-Current Liabilities,BS
us-gaap:Liabilities,Total Liabilities,BS
us-gaap:CommonStockValue,Common Stock,BS
us-gaap:AdditionalPaidInCapital,Additional Paid In Capital,BS
us-gaap:RetainedEarningsAccumulatedDeficit,Retained Earnings,BS
us-gaap:AccumulatedOtherComprehensiveIncomeLossNetOfTax,Comprehensive Inc. and Other,BS
us-gaap:StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,Total Equity,BS
us-gaap:LiabilitiesAndStockholdersEquity,Total Liabilities And Equity,BS
dei:EntityCommonStockSharesOutstanding,Total Shares Out.,BS
us-gaap:InventoryWorkInProcessAndRawMaterialsNetOfReserves,Raw Materials Inventory,BS
us-gaap:InventoryFinishedGoodsNetOfReserves,Finished Goods Inventory,BS
us-gaap:PropertyPlantAndEquipmentGross,"Gross Property, Plant & Equipment",BS
,,
,,
us-gaap:AllowanceForDoubtfulAccountsReceivableCurrent,Accum. Allowance for Doubtful Accts,BS
us-gaap:RevenueFromContractWithCustomerIncludingAssessedTax,Revenue,IS
us-gaap:Revenues,Total Revenue,IS
us-gaap:CostOfGoodsAndServicesSold,Cost Of Goods Sold,IS
us-gaap:CostsAndExpenses,Cost Of Goods Sold,IS
us-gaap:SellingGeneralAndAdministrativeExpense,Selling General & Admin Exp.,IS
us-gaap:ResearchAndDevelopmentExpense,R & D Exp.,IS
us-gaap:DepreciationDepletionAndAmortization,Depreciation & Amort.,IS
us-gaap:OperatingIncomeLoss,Operating Income,IS
us-gaap:InterestExpense,Interest Expense,IS
us-gaap:NonoperatingIncomeExpense,Interest and Invest. Income,IS
us-gaap:RestructuringCharges,Restructuring Charges,IS
us-gaap:IncomeTaxExpenseBenefit,Income Tax Expense,IS
us-gaap:IncomeLossFromContinuingOperations,Earnings from Cont. Ops.,IS
us-gaap:IncomeLossFromDiscontinuedOperationsNetOfTax,Earnings of Discontinued Ops.,IS
us-gaap:NetIncomeLossAttributableToNoncontrollingInterest,Minority Int. in Earnings,IS
us-gaap:ProfitLoss,Net Income,IS
