standard,gaap_tag,statement,,,,
Other Investing Activities,SupplementalOtherAssets,cash_flow,,,,
Other Investing Activities,NoncashOrPartNoncashDivestitureAmountOfConsiderationReceived1,cash_flow,,,,
Other Investing Activities,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentAssetsOther,cash_flow,,,,
Other Investing Activities,DebtFinancingCostsOtherAssets,cash_flow,,,,
Other Investing Activities,AmortizationOfDeferredFinancingCostsOtherAssets,cash_flow,,,,
Other Investing Activities,WriteoffOfPusuitCostsOtherAssets,cash_flow,,,,
Other Investing Activities,RestrictedCashandRestrictedCashEquivalentsIncludedinOtherAssetsNoncurrent,cash_flow,,,,
Other Investing Activities,WriteOffOfPursuitCostsOtherAssets,cash_flow,,,,
Other Investing Activities,DistributionsFromUnconsolidatedEntitiesReturnOfCapitalOtherAssets,cash_flow,,,,
Other Investing Activities,NoncashChangeinOtherAssetsAcquired,cash_flow,,,,
Other Investing Activities,NoncashOrPartNoncashAcquisitionOtherAssetsAcquired1,cash_flow,,,,
Other Investing Activities,AccruedIncomeAndOtherAssets,cash_flow,,,,
Other Investing Activities,InitialMeasurementAndReclassificationsOtherAssets,cash_flow,,,,
Other Investing Activities,OtherAssets,cash_flow,,,,
,,,,,,
Other Investing Activities,PaymentsToAcquireInvestments,cash_flow,,,,
,,,,,,
Other Investing Activities,OtherNetExcludingGainsLosses,cash_flow,,,,
Other Investing Activities,PaymentsForOtherOperatingActivities,cash_flow,,,,
Other Investing Activities,IncreaseDecreaseInOtherNoncurrentAssetsAndLiabilitiesNet,cash_flow,,,,
Other Investing Activities,OtherNonoperatingIncomeExpense,cash_flow,,,,
Other Investing Activities,OtherNet,cash_flow,,,,
Other Investing Activities,PaymentsForProceedsFromOtherOperatingActivities,cash_flow,,,,
Other Investing Activities,ChangesInOtherOperatingActivities,cash_flow,,,,
Other Investing Activities,OtherNonCashChargesAndCreditsNet,cash_flow,,,,
Other Investing Activities,OtherCashAndNoncashChangesInOperatingActivities,cash_flow,,,,
Other Investing Activities,OtherAdjustmentsForCashAndNoncashItemsIncludedInIncomeLossFromContinuingOperations,cash_flow,,,,
Other Investing Activities,OtherNetInFinancingActivities,cash_flow,,,,
Other Investing Activities,ProceedsFromPaymentsForOtherOperatingActivities,cash_flow,,,,
Other Investing Activities,ExcessTaxBenefitFromShareBasedCompensationFinancingActivities,cash_flow,,,,
Other Investing Activities,PaymentsForProceedsFromHedgeFinancingActivities,cash_flow,,,,
Other Investing Activities,OtherNonoperatingIncomeExpenseIncludingImpairmentLosses,cash_flow,,,,
Other Investing Activities,OtherPaymentsToAcquireBusinesses,cash_flow,,,,
Other Investing Activities,IncreaseDecreaseInNoncurrentAssetsAndOtherNet,cash_flow,,,,
Other Investing Activities,PaymentsForProceedsFromInvestments,cash_flow,,,,
,,,,,,
,,,,,,
Other Investing Activities,EscrowRelease,cash_flow,,,,
Other Investing Activities,PaymentsToAcquireAssetsInvestingActivities,cash_flow,,,,
,,,,,,
Other Investing Activities,PaymentsToAcquireProductiveAssets,cash_flow,,,,
Other Investing Activities,IncreaseInOtherAssetsNetOfOtherLiabilities,cash_flow,,,,
,,,,,,
,,,,,,
,,,,,,
Other Investing Activities,OtherItems,cash_flow,,,,
Other Investing Activities,PaymentsForProceedsFromShortTermInvestments,cash_flow,,,,
Other Investing Activities,PaymentsToAcquireShortTermInvestments,cash_flow,,,,
,,,,,,
Other Investing Activities,IncreaseDecreaseInNoncurrentAssets,cash_flow,,,,
