standard,gaap_tag,statement,,,,
Interest and Invest. Income,SalesRevenueNet,income,,,,
Interest and Invest. Income,CostOfGoodsAndServicesSold,income,,,,
Interest and Invest. Income,OperatingExpenses,income,,,,
Interest and Invest. Income,EarningsPerShareBasic,income,,,,
Interest and Invest. Income,EarningsPerShareDiluted,income,,,,
Interest and Invest. Income,Revenues,income,,,,
Interest and Invest. Income,BenefitsLossesAndExpenses,income,,,,
Interest and Invest. Income,CostsAndExpenses,income,,,,
Interest and Invest. Income,UtilityRevenue,income,,,,
Interest and Invest. Income,OperatingIncomeLoss,income,,,,
Interest and Invest. Income,CostOfRevenue,income,,,,
Interest and Invest. Income,CostsAndExpensesIncludingInterest,income,,,,
Interest and Invest. Income,ProfitLoss,income,,,,
Interest and Invest. Income,NetIncomeLoss,income,,,,
Interest and Invest. Income,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,income,,,,
Interest and Invest. Income,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,income,,,,
Interest and Invest. Income,IncomeTaxExpenseBenefit,income,,,,
Interest and Invest. Income,OperatingExpensesWithWriteOffOfInProcessResearchAndDevelopment,income,,,,
Interest and Invest. Income,OtherNonrecurringIncomeExpense,income,,,,
Interest and Invest. Income,OtherDeductionsNet,income,,,,
Interest and Invest. Income,OtherSalesRevenueNet,income,,,,
Interest and Invest. Income,Otherincomeloss,income,,,,
